String,new_string
what is the highest mountain in america and where is is located ?,[{'generated_text': 'where was the first person to see the mountain ?'}]
what was the first honda car,[{'generated_text': 'what was special about the Honda S600 ?'}]
when was everybody hates chris made,"[{'generated_text': ""what 's the show 's title ?""}]"
what is lung effusion,[{'generated_text': 'why should too much of the fluid be left in the lungs ?'}]
who is the writer of the beowulf poem ?,[{'generated_text': 'what is the text written for ?'}]
who is shem in the bible,[{'generated_text': 'who was the next prophet after his father ?'}]
what is go daddy.com ?,"[{'generated_text': 'what does "" go Daddy "" mean ?'}]"
where is the country andorra located,[{'generated_text': 'who is the head of the royal family ?'}]
who is marrying kim kardashian,[{'generated_text': 'how many lines of clothing and fragrances does she have ?'}]
what is the highest point in oahu,[{'generated_text': 'how long is the fly-around tour of the island ?'}]
what was british honduras previously called,[{'generated_text': 'how many countries were there in the world before belize became independent ?'}]
what is spelt flour,[{'generated_text': 'what was spelt like ?'}]
what is sherlock holmes job,[{'generated_text': 'who created the famous detectiveSherlock Holmes ?'}]
what is only constitutional leadership position in house of representatives,[{'generated_text': 'how many people are there in the text ?'}]
what is jello made of,[{'generated_text': 'why is gelatin used in the us ?'}]
where is kennywood in pittsburgh,[{'generated_text': 'when did the Kennywood Entertainment company begin to operate ?'}]
what is social security card used for,[{'generated_text': 'why did the Railroad Retirement Board issue the ticket ?'}]
what is the minimalist trend,"[{'generated_text': 'how was the word "" minimalist "" used in the 20th century ?'}]"
What were the problems with Dalton 's original laws ?,[{'generated_text': 'what is the ideal gas laws ?'}]
what is the largest university in the us,[{'generated_text': 'what is counted by the Integrated Post-secondary education system ?'}]
Who is the rap singer in right round with kesha in the background ? * ( dancer ) *,"[{'generated_text': 'how did the song "" Kesha "" come out ?'}]"
who is the current Chief Justice of the U.S. supreme court ?,[{'generated_text': 'who is the chief justice of the u.s.a. ?'}]
what was the first oil company to operate at prudhoe bay,"[{'generated_text': ""what 's the relationship between the two oil companies ?""}]"
when was the american labor union formed,[{'generated_text': 'what is the percentage of union membership in the private sector not seen since 1932 ?'}]
what is boutique bank,[{'generated_text': 'what type of writing is this text ?'}]
what is definition of psychotic,"[{'generated_text': 'what kind of people are thought to be "" psychosis "" ?'}]"
Who is General Grievous of Star Wars,[{'generated_text': 'why did the galaxy give Grievous the nickname the Knightslayer ?'}]
what is BB statistics,[{'generated_text': 'what do statistics play an important role in ?'}]
what were the disease like in the great depression ?,[{'generated_text': 'what was the effect of the great depression ?'}]
what is an irregular heartbeat pvc,"[{'generated_text': 'what is a "" skipped beat "" ?'}]"
what is wrong with gary busey 's face,[{'generated_text': 'what did the actor win an award for ?'}]
what is the truth in negotiations act act,"[{'generated_text': ""what 's the attitude of doctors without Borders towards the agreement ?""}]"
what is max gross weight for 2004 international semi truck,[{'generated_text': 'how many kinds of vehicles are mentioned in this text ?'}]
who was the quarterbacks in the super bowl between the steelers nd the cowboys,[{'generated_text': 'how many Super Bowl appearances does the Steelers have ?'}]
what is flour made from,[{'generated_text': 'how many kinds of wheat and rye flour are there in this article ?'}]
what is my resting heart rate at age 24,[{'generated_text': 'how can amphetamines increase heart rate ?'}]
where was the tsunami in 2005,[{'generated_text': 'how many causes were mentioned in the article ?'}]
what is the source of geothermal energy,[{'generated_text': 'how many factors are mentioned in the article to determine the temperature of matter ?'}]
what is cubic ft,[{'generated_text': 'which word can be used to show the length of a cube ?'}]
where was All roads lead home filmed,[{'generated_text': 'when did the movie make its world Premiere ?'}]
what is the california sales taxes,[{'generated_text': 'who may collect sales tax from in-state purchasers ?'}]
what is another name for cpu,[{'generated_text': 'what kind of system rely on a central processing unit ?'}]
what is RFID equipment,[{'generated_text': 'how many kinds ofRFID tags are used in the text ?'}]
what is comp time in disd,[{'generated_text': 'how can employers set overtime labor laws ?'}]
What is the main disadvantage of using algorithms,[{'generated_text': 'what is a force-directed graph ?'}]
what is lost purchasing power,[{'generated_text': 'what is the purchasing power of a real income ?'}]
what is the primary language of South Korea,"[{'generated_text': ""what is the central administration 's view about education in the us ?""}]"
who was charged with murder after the massacre at My lai,[{'generated_text': 'why did the three soldiers receive hate mail and death threats ?'}]
what was muhammad 's vision,[{'generated_text': 'who was the last prophet sent by God for mankind ?'}]
Who is the world 's oldest living person,[{'generated_text': 'how old was calment when she died ?'}]
What was the movement of enslaved africans known as ?,[{'generated_text': 'what was the civil rights movement like ?'}]
what is metal music about,[{'generated_text': 'what did heavy Metal do in the mid-1970s ?'}]
what is extreme right wing,"[{'generated_text': ""what 's the aim of the far right ?""}]"
what is the title of Hobbes main work,[{'generated_text': 'what was Leviathan ?'}]
what is high emotional intelligence ?,"[{'generated_text': ""what 's the similarity between ability and trait Eis ?""}]"
what is the role of heredity,[{'generated_text': 'what is hereditary ?'}]
what is modified agi,[{'generated_text': 'which item is not included in taxable income ?'}]
who is the girl in the lazy eye video,"[{'generated_text': ""what 's the third single from Silversun Pickups ' self-titled album""}]"
what is prefix phone number,[{'generated_text': 'how many prefixes are used in some countries ?'}]
what is metformin used for,[{'generated_text': 'what has been shown to cause cardiovascular complications of gestational diabetes ?'}]
what is it like at mount rushmore ?,[{'generated_text': 'what is the height of Harney Peak ?'}]
what is buttoned-down shirt ?,[{'generated_text': 'what do these formal shirts have in common ?'}]
when is administrative assistant day,[{'generated_text': 'when is the first day in spring in the usa ?'}]
what is blasting ( mining ),[{'generated_text': 'how can abrasive blasting be used ?'}]
what was nicholas poussins art known to be ?,[{'generated_text': 'what kind of subjects are his works mostly about ?'}]
where are statutes formed,[{'generated_text': 'what kind of person is a speaker ?'}]
where are the internal and external iliac arteries,[{'generated_text': 'why are external iliac arteries called the renal arteries ?'}]
what is steam by valve corporation,"[{'generated_text': ""what 's the Steam logo ?""}]"
what is jerry lewis real name,[{'generated_text': 'what isLewis famous for ?'}]
where is the Rhine river located on a map,[{'generated_text': 'how many castles and prehistoric fortifications along the Rhine testify to its importance as a water'}]
what is sanskrit shri,[{'generated_text': 'which is wrong according to the article ?'}]
what is civil engineering aBOUT,[{'generated_text': 'what is the most important thing for a good Structural Analysis ?'}]
what was the main event for katherine dunham ?,"[{'generated_text': 'who has been called the `` matriarch and queen mother of black dance "" ?'}]"
what is peat moss good for growing ?,[{'generated_text': 'why do the empty cells not decay easily ?'}]
what is Network Interface Card ( NIC ),[{'generated_text': 'what is the disadvantage of the network card ?'}]
what is the united nations and what is its role in the world,[{'generated_text': 'how many positions does the office of Secretary-General have ?'}]
Where is South Beach in Miami,[{'generated_text': 'where does this text probably come from ?'}]
who was john f kennedy up against,[{'generated_text': 'why was the election so close ?'}]
who was the king during macbeth 's time,[{'generated_text': 'when did the playMacbeth come out ?'}]
